t,pop,avg_viruses,virus_1_cnt,virus_1_genome
176,157,0.573248,90,"0.379223,0.459132,0.325324,0.0453771,0.293788,0.105449,0.311733,0.19381,0.398624,0.382651,"
177,157,0.585987,92,"0.379223,0.459132,0.325324,0.0453771,0.293788,0.105449,0.311733,0.19381,0.398624,0.382651,"
178,156,0.602564,94,"0.379223,0.459132,0.325324,0.0453771,0.293788,0.105449,0.311733,0.19381,0.398624,0.382651,"
179,155,0.606452,94,"0.379223,0.459132,0.325324,0.0453771,0.293788,0.105449,0.311733,0.19381,0.398624,0.382651,"
180,155,0.6,93,"0.379223,0.459132,0.325324,0.0453771,0.293788,0.105449,0.311733,0.19381,0.398624,0.382651,"
181,154,0.590909,91,"0.379223,0.459132,0.325324,0.0453771,0.293788,0.105449,0.311733,0.19381,0.398624,0.382651,"
182,154,0.577922,89,"0.379223,0.459132,0.325324,0.0453771,0.293788,0.105449,0.311733,0.19381,0.398624,0.382651,"
183,153,0.568627,87,"0.379223,0.459132,0.325324,0.0453771,0.293788,0.105449,0.311733,0.19381,0.398624,0.382651,"
184,152,0.585526,89,"0.379223,0.459132,0.325324,0.0453771,0.293788,0.105449,0.311733,0.19381,0.398624,0.382651,"
185,148,0.567568,84,"0.369231,0.458445,0.324567,0.0396254,0.288029,0.114832,0.327216,0.204051,0.388304,0.388521,"
186,148,0.567568,84,"0.369231,0.458445,0.324567,0.0396254,0.288029,0.114832,0.327216,0.204051,0.388304,0.388521,"
187,147,0.564626,83,"0.369231,0.458445,0.324567,0.0396254,0.288029,0.114832,0.327216,0.204051,0.388304,0.388521,"
188,146,0.568493,83,"0.369231,0.458445,0.324567,0.0396254,0.288029,0.114832,0.327216,0.204051,0.388304,0.388521,"
189,144,0.555556,80,"0.369231,0.458445,0.324567,0.0396254,0.288029,0.114832,0.327216,0.204051,0.388304,0.388521,"
190,142,0.549296,78,"0.369231,0.458445,0.324567,0.0396254,0.288029,0.114832,0.327216,0.204051,0.388304,0.388521,"
191,142,0.549296,78,"0.369231,0.458445,0.324567,0.0396254,0.288029,0.114832,0.327216,0.204051,0.388304,0.388521,"
192,141,0.553191,78,"0.369231,0.458445,0.324567,0.0396254,0.288029,0.114832,0.327216,0.204051,0.388304,0.388521,"
193,141,0.567376,80,"0.369231,0.458445,0.324567,0.0396254,0.288029,0.114832,0.327216,0.204051,0.388304,0.388521,"
194,140,0.557143,78,"0.369231,0.458445,0.324567,0.0396254,0.288029,0.114832,0.327216,0.204051,0.388304,0.388521,"
195,140,0.564286,79,"0.369231,0.458445,0.324567,0.0396254,0.288029,0.114832,0.327216,0.204051,0.388304,0.388521,"
196,139,0.568345,79,"0.369231,0.458445,0.324567,0.0396254,0.288029,0.114832,0.327216,0.204051,0.388304,0.388521,"
197,138,0.57971,80,"0.369231,0.458445,0.324567,0.0396254,0.288029,0.114832,0.327216,0.204051,0.388304,0.388521,"
198,136,0.573529,78,"0.379447,0.456339,0.328733,0.0451266,0.295054,0.108378,0.303412,0.199641,0.399309,0.384066,"
199,135,0.57037,77,"0.379447,0.456339,0.328733,0.0451266,0.295054,0.108378,0.303412,0.199641,0.399309,0.384066,"
200,133,0.548872,73,"0.379447,0.456339,0.328733,0.0451266,0.295054,0.108378,0.303412,0.199641,0.399309,0.384066,"
201,132,0.545455,72,"0.379447,0.456339,0.328733,0.0451266,0.295054,0.108378,0.303412,0.199641,0.399309,0.384066,"
202,132,0.537879,71,"0.379447,0.456339,0.328733,0.0451266,0.295054,0.108378,0.303412,0.199641,0.399309,0.384066,"
203,131,0.549618,72,"0.379447,0.456339,0.328733,0.0451266,0.295054,0.108378,0.303412,0.199641,0.399309,0.384066,"
204,131,0.557252,73,"0.379447,0.456339,0.328733,0.0451266,0.295054,0.108378,0.303412,0.199641,0.399309,0.384066,"
205,131,0.549618,72,"0.379447,0.456339,0.328733,0.0451266,0.295054,0.108378,0.303412,0.199641,0.399309,0.384066,"
206,130,0.546154,71,"0.379447,0.456339,0.328733,0.0451266,0.295054,0.108378,0.303412,0.199641,0.399309,0.384066,"
207,128,0.523438,67,"0.379447,0.456339,0.328733,0.0451266,0.295054,0.108378,0.303412,0.199641,0.399309,0.384066,"
208,128,0.523438,67,"0.379447,0.456339,0.328733,0.0451266,0.295054,0.108378,0.303412,0.199641,0.399309,0.384066,"
209,125,0.52,65,"0.379447,0.456339,0.328733,0.0451266,0.295054,0.108378,0.303412,0.199641,0.399309,0.384066,"
210,125,0.52,65,"0.379447,0.456339,0.328733,0.0451266,0.295054,0.108378,0.303412,0.199641,0.399309,0.384066,"
211,124,0.508065,63,"0.379447,0.456339,0.328733,0.0451266,0.295054,0.108378,0.303412,0.199641,0.399309,0.384066,"
212,124,0.508065,63,"0.379447,0.456339,0.328733,0.0451266,0.295054,0.108378,0.303412,0.199641,0.399309,0.384066,"
213,123,0.504065,62,"0.379447,0.456339,0.328733,0.0451266,0.295054,0.108378,0.303412,0.199641,0.399309,0.384066,"
214,123,0.504065,62,"0.379447,0.456339,0.328733,0.0451266,0.295054,0.108378,0.303412,0.199641,0.399309,0.384066,"
215,123,0.487805,60,"0.379447,0.456339,0.328733,0.0451266,0.295054,0.108378,0.303412,0.199641,0.399309,0.384066,"
216,123,0.479675,59,"0.379447,0.456339,0.328733,0.0451266,0.295054,0.108378,0.303412,0.199641,0.399309,0.384066,"
217,122,0.459016,56,"0.379447,0.456339,0.328733,0.0451266,0.295054,0.108378,0.303412,0.199641,0.399309,0.384066,"
218,122,0.45082,55,"0.379447,0.456339,0.328733,0.0451266,0.295054,0.108378,0.303412,0.199641,0.399309,0.384066,"
219,122,0.459016,56,"0.379447,0.456339,0.328733,0.0451266,0.295054,0.108378,0.303412,0.199641,0.399309,0.384066,"
220,121,0.454545,55,"0.379447,0.456339,0.328733,0.0451266,0.295054,0.108378,0.303412,0.199641,0.399309,0.384066,"
